ID,elevation
10837920,138
16538120,133
1693721,103
17337203,138
17738105,133
17837185,0
18037212,138
17937129,167
16438138,133
13337129,85
181840121,55
181742223,167
13537212,138
9840351,172
11637660,163
9038103,133
938344,62
338320,133
16737404,255
16837067,88
11437660,163
3037421,103
14437415,255
14937772,127
6938372,0
6638351,158
8637862,117
7237343,255
7337404,255
10337601,94
81,133
16638133,133
12437166,51
13137203,138
837190,39
11138583,154
2337205,109
17438119,133
5237043,133
537312,139
83,139
1537821,126
1237015,128
16037055,133
2537115,255
2037211,48
9438116,133
13937849,114
4837743,89
12337087,114
13538237,2
16438024,133
15037804,90
2838104,133
13438128,133
3937916,138
3537683,140
5438570,73
9138104,133
14137814,78
9538103,133
17138103,133
17537849,114
12537398,170
9937066,253
14037760,149
4137920,138
11937203,138
11837075,255
2637148,68
10737167,128
10137650,89
15837232,138
195337650,67
187942303,74
10422146,133
11531194,74
11513132,133
10468047,133
10470877,205
11513126,133
10470882,133
10844079,133
11513130,133
10422154,121
10194184,133
11531135,133
11521672,133
10844080,133
11531186,2
11513129,133
10843899,133
10844542,133
10192850,133
10468040,133
11513123,133
11531164,127
11241583,78
11531212,55
11531344,75
10470878,62
10467881,133
10470872,255
10192192,133
11513085,98
11513070,163
10192186,167
10421745,109
10844359,70
10844543,133
10470263,74
11513019,124
11531106,139
11531129,145
11531208,32
11531200,149
11531348,158
11531183,99
11513077,128
10843951,78
10468050,191
10843830,70
11241468,115
10422151,48
10194191,85
10421733,99
11241528,113
10843822,133
10193743,133
11531417,133
10843820,133
10843823,99
10194195,0
10194196,121
10421737,163
11531422,91
11241575,0
10194188,133
11241475,167
10192505,133
10192452,182
10192475,99
10194179,94
10194193,192
10843416,109
10422153,129
10192851,255
11531167,183
10192058,163
11521767,70
11531184,111
10421738,255
10421734,99
11513016,124
10844548,167
10196537,114
10192188,133
10843888,133
10843827,99
10844083,138
11241558,114
10843410,62
10467989,99
10192318,84
10467980,115
11521771,255
10193739,62
10422147,103
11521764,99
10470279,65
10422142,90
10468042,167
10844547,193
10194178,97
10843861,125
10422141,133
10468044,127
10467987,62
10421744,102
11513071,120
10421743,114
11241426,81
10844082,85
11513086,158
10467985,121
10844358,104
11513075,163
11513139,133
11513141,129
11513145,117
11513140,148
11513134,148
10425865,88
10192193,133
10421735,153
10422148,124
10421746,81
10192165,117
10422155,53
10194419,121
10468049,128
10194183,64
11241522,129
10193737,255
11531105,139
11531136,158
11531158,133
11531162,87
11531134,145
11531172,253
11531176,133
11531128,92
11531169,253
11531107,90
11531139,78
11531163,133
11531127,80
11531131,145
11531132,145
11531191,78
11531174,68
11531175,0
11241420,89
11531188,255
11531192,55
11531187,78
11531185,133
10194438,113
11531189,206
11531202,114
11531161,99
10843952,138
10193746,160
10193137,133
10422139,255
10194197,81
11531190,68
11531204,114
11513049,48
11531181,54
11531193,158
11531203,118
11531160,114
11531341,183
11531137,78
11531166,220
11531345,128
11531350,133
11531349,62
11241482,85
10422140,255
10468048,167
11513068,115
10468043,255
10192277,153
10843902,255
10422152,114
10193742,104
10844084,64
10194187,124
10844081,85
10422149,109
10468045,255
10192084,128
10467983,133
10467986,133
10193750,78
11241512,63
10844549,2
11241578,2
11241557,121
10422143,145
10468041,255
11513118,245
10467982,133
